config,bg_kernel,pct,min_size,dice,jaccard
bg15_pct90_ms60,15,90,60,0.7017,0.5434
bg21_pct90_ms60,21,90,60,0.7002,0.541
bg21_pct90_ms30,21,90,30,0.6977,0.5384
bg15_pct90_ms30,15,90,30,0.6968,0.5383
bg25_pct90_ms60,25,90,60,0.6958,0.5356
bg25_pct90_ms30,25,90,30,0.6939,0.5337
bg15_pct88_ms60,15,88,60,0.6937,0.5357
bg15_pct92_ms30,15,92,30,0.6928,0.5315
bg15_pct92_ms60,15,92,60,0.6923,0.5307
bg21_pct92_ms30,21,92,30,0.6919,0.5297
bg21_pct92_ms60,21,92,60,0.6909,0.5284
bg25_pct92_ms30,25,92,30,0.6889,0.5263
bg31_pct90_ms60,31,90,60,0.6884,0.5272
bg25_pct92_ms60,25,92,60,0.6879,0.525
bg21_pct88_ms60,21,88,60,0.6873,0.5273
bg31_pct90_ms30,31,90,30,0.6869,0.5257
bg15_pct88_ms30,15,88,30,0.6846,0.526
bg31_pct92_ms30,31,92,30,0.682,0.5185
bg21_pct88_ms30,21,88,30,0.6814,0.5211
bg35_pct90_ms60,35,90,60,0.6813,0.5192
bg31_pct92_ms60,31,92,60,0.6808,0.517
bg25_pct88_ms60,25,88,60,0.6807,0.5198
bg35_pct90_ms30,35,90,30,0.6803,0.5183
bg35_pct92_ms30,35,92,30,0.6772,0.5132
bg25_pct88_ms30,25,88,30,0.6761,0.5149
bg35_pct92_ms60,35,92,60,0.6761,0.5118
bg31_pct88_ms60,31,88,60,0.6744,0.5123
bg31_pct88_ms30,31,88,30,0.6709,0.5088
bg11_pct90_ms60,11,90,60,0.667,0.5046
bg35_pct88_ms60,35,88,60,0.6639,0.5008
bg11_pct88_ms60,11,88,60,0.6636,0.502
bg35_pct88_ms30,35,88,30,0.6607,0.4975
bg11_pct90_ms30,11,90,30,0.6575,0.4949
bg11_pct92_ms60,11,92,60,0.6512,0.4848
bg11_pct92_ms30,11,92,30,0.6494,0.4832
bg11_pct88_ms30,11,88,30,0.6464,0.484
